@relation 'TRAININGDATA-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-12'

@attribute selectivity numeric
@attribute postgesEstCostMax numeric
@attribute postgesEstWidth numeric
@attribute numberOfWorkers numeric
@attribute realTime numeric

@data
0.1,657379.34,308,6,13.532298
10,903070.15,308,6,36.531429
100,2498178.22,308,6,127.191519
1,752230.28,324,6,19.180935
100,2615366.22,324,6,139.062684
1,758352.28,340,6,15.860749
10,942896.15,348,6,41.003792
100,2791148.22,348,6,137.393107
0.1,659105.34,356,6,12.728933
1,764474.28,356,6,15.770391
10,950862.15,356,6,40.629822
100,2849740.22,356,6,139.442962
100,2908336.22,364,6,150.321444
0.1,659679.34,372,6,13.013904
10,966792.15,372,6,33.075955
100,2966928.22,372,6,142.196544
1,773654.28,380,6,15.770281
10,982724.15,388,6,40.171614
100,3084118.22,388,6,146.525185
1,779774.28,396,6,15.928754
10,990690.15,396,6,40.798354
100,3142710.22,396,6,157.196578
100,3201304.22,404,6,152.481965
0.1,660831.34,412,6,12.685465
10,998656.15,412,6,39.964778
100,3201304.22,412,6,150.604684
0.1,663761.34,420,6,13.195711
1,785766.28,420,6,19.80486
1,788696.28,428,6,19.856415
100,3207164.22,428,6,155.285859
1,791624.28,436,6,19.468804
10,1007444.15,436,6,39.777108
0.1,672549.34,444,6,14.834039
100,3213022.22,444,6,156.890656
1,797484.28,452,6,16.665865
0.1,675575.34,460,6,15.322138
0.1,678601.34,468,6,14.285008
0.1,681627.34,476,6,16.582147
10,1027128.15,476,6,45.084766
100,3280406.22,476,6,168.599295
0.1,684653.34,484,6,14.348086
1,810354.28,484,6,18.079693
100,3302868.22,484,6,170.616347
0.1,687679.34,492,6,14.629494
10,1038298.15,492,6,44.843302
100,3325330.22,492,6,172.892531
10,1043608.15,500,6,46.114284
1,820338.28,508,6,19.969483
0.1,692161.34,516,6,14.986092
10,1058134.15,516,6,45.448378
0.1,694057.86,524,6,15.008364
100,3437436.1,524,6,184.488262
10,790653.29,51,6,14.539098
0.1,661980.82,101,6,9.008667
1,720727.91,101,6,12.585455
10,824649.37,101,6,21.337044
0.1,676900.82,152,6,9.42454
100,2139874.33,152,6,75.885602
0.1,692394.82,203,6,8.950765
1,780717.91,203,6,12.550599
10,936959.37,203,6,24.478373
100,2524640.33,203,6,77.818374
10,944985.29,210,6,20.775609
100,2565068.42,210,6,84.041581
0.1,698436.93,217,6,9.563047
1,788534.64,217,6,12.417504
100,2567998.42,217,6,91.113306
0.1,701366.93,231,6,10.557742
10,950845.29,231,6,22.1988
100,2570928.42,231,6,96.919878
1,794394.64,238,6,13.355019
100,2573858.42,238,6,99.058474
0.1,707507.04,245,6,11.676764
1,800305.36,245,6,15.051308
0.1,707603.04,252,6,13.519
10,967113.21,252,6,30.014096
100,2653352.5,252,6,94.649914
1,805273.36,259,6,17.880369
100,2698272.5,266,6,110.3851
0.1,716040.52,273,6,15.175267
1,815827,273,6,19.634151
10,992342.44,273,6,28.947698
100,2789288.62,273,6,111.849116
0.1,718186.52,280,6,13.4363
1,819821,280,6,18.079867
0.1,718378.52,287,6,15.721258
1,821861,287,6,19.786434
1,828464.63,294,6,19.200154
10,1018975.66,294,6,33.860578
100,2960382.73,294,6,124.935487
0.1,723010,301,6,14.232717
1,833478.63,301,6,20.623694
